[2026-03-16 05:41:17 UTC] Endurance test started — PID 82923
[2026-03-16 07:10:19 UTC] ⚠️ 429 at request #4753 (B09JQMJHXY)
[2026-03-16 07:10:20 UTC] ⚠️ 429 at request #4754 (B07ZPKN6YR)
[2026-03-16 07:10:21 UTC] ⚠️ 429 at request #4755 (B08BHXG144)
[2026-03-16 07:10:22 UTC] ⚠️ 429 at request #4756 (B0CHWRXH8B)
[2026-03-16 07:10:24 UTC] ⚠️ 429 at request #4757 (B0931VRJT5)
[2026-03-16 07:10:25 UTC] ⚠️ 429 at request #4758 (B0BDJ279KF)
[2026-03-16 07:10:26 UTC] ⚠️ 429 at request #4759 (B0BTJ6KBVB)
[2026-03-16 07:10:27 UTC] ⚠️ 429 at request #4760 (B0CFWQSDWQ)
[2026-03-16 07:10:28 UTC] ⚠️ 429 at request #4761 (B0BN72Y6WP)
[2026-03-16 07:10:29 UTC] ⚠️ 429 at request #4762 (B0CG1B94S3)
[2026-03-16 07:10:30 UTC] ⚠️ 429 at request #4763 (B0BTFKXQFL)
[2026-03-16 07:10:31 UTC] ⚠️ 429 at request #4764 (B0CZSGWLD9)
[2026-03-16 07:41:18 UTC] 📊 Hour 3: 2982 ok / 232 problems (429:232 403:0 err:0)
[2026-03-16 08:37:09 UTC] ============================================================
[2026-03-16 08:37:09 UTC] FINAL REPORT — 2.9 hours, 9391 requests
[2026-03-16 08:37:09 UTC]   Charts:       2446
[2026-03-16 08:37:09 UTC]   No-data:      6713
[2026-03-16 08:37:09 UTC]   Rate-limited: 232
[2026-03-16 08:37:09 UTC]   Blocked:      0
[2026-03-16 08:37:09 UTC]   Errors:       0
[2026-03-16 08:37:09 UTC]   Success rate: 9159/9391 = 97.5%
[2026-03-16 08:37:09 UTC] ============================================================
